,Product Name,Product Price,Product Description,price off on products
0,aadi,₹249,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,87% off
1,World Wear Footwear,₹299,Latest Exclusive Affordable Collection of Trendy & Styl...,85% off
2,Nobelite,₹299,Casuals For Men,78% off
3,aadi,₹249,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,87% off
4,Nobelite,₹299,Running shoes for boys | sports shoes for men | Latest ...,79% off
5,BRUTON,₹499,Combo Pack Of 4 Casual Shoes Loafer Shoes Sneakers For ...,85% off
6,kardam&sons,₹403,kardam&sons fashionable casual sneaker shoes Sneakers F...,79% off
7,EZDEZARIO,₹494,Sneakers For Men,50% off
8,Labbin,₹499,Sneakers For Men,50% off
9,WHITE WALKERS,₹429,Stylish & Trending Outdoor Walking Comfortable Sneakers...,71% off
10,K- FOOTLANCE,₹349,Sneakers For Men,65% off
11,T-ROCK,₹378,Stylish Good Looking Casual Shoes Loafers For Men,62% off
12,asian,₹499,"Skypee-32 Grey Highneck Canvas,Loafers,Walking,Stylish ...",50% off
13,aadi,₹499,Mesh| Ultralightweight| Premiun| Comfort| Summer Tendy|...,75% off
14,aadi,₹449,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,77% off
15,Labbin,₹499,Sneakers For Men,50% off
16,SFR,₹499,Casual Shoes For Men Sneakers For Men,50% off
17,T-ROCK,₹378,Stylish Good Looking Casual Loafers Loafers For Men,62% off
18,Nobelite,₹499,Casuals For Men,50% off
19,Nobelite,₹489,Running Sports Latest Stylish Casual Lace up lightweigh...,57% off
20,SFR,₹449,High Tops For Men,55% off
21,K' Footlance,₹398,Fashion and Stylish Soft Ultralight Lace Up Sneakers Ca...,60% off
22,HOTSTYLE,₹499,Combo Pack Of 2 Sneakers For Men,75% off
23,aadi,₹449,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,55% off
24,Elevarse,₹378,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,52% off
25,aadi,₹449,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",77% off
26,SFR,₹399,2003-NAAVY-8 Sneakers For Men,60% off
27,K' Footlance,₹349,Loafers For Men,65% off
28,BRUTON,₹299,Sneaker Sneakers For Men,76% off
29,aadi,₹479,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",76% off
30,kardam&sons,₹578,kardam&sons luxury fashionable casual sneaker boots Sne...,71% off
31,EZDEZARIO,₹494,Sneakers For Men,50% off
32,WHITE WALKERS,₹429,Stylish & Trending Outdoor Walking Comfortable Sneakers...,71% off
33,BRUTON,₹299,Modern Trendy Sneakers Shoes Sneakers For Men,76% off
34,BIRDE,₹499,Combo Pack Of 2 Casual Shoes Sneakers For Men,50% off
35,aadi,₹449,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,55% off
36,RapidBox,₹579,Sneakers For Men,42% off
37,AMICO,₹599,Casual Sneakers For Boys And Men Sneakers For Men (Grey...,70% off
38,Kraasa,₹499,"Casuals, Canvas, Partywear Sneakers For Men",50% off
39,BIRDE,₹499,Combo Pack of 2 Casual Shoes Sneakers For Men,75% off
